skill,course_count,example_courses
hygiene,2,Designing workplace hygiene policies; Overview of hygiene principles
including,2,Practice your Autocad Skills; Revit 2020 Create Walls of Armor
influence,2,Influence Persuasion; leadership and influence
integration,2,Revit 2020Simple Steps to Create Splendid Stairs; HTML Advanced Techniques
internal,2,Managing key stakeholders; Risk Management and internal controls
internet,2,Social Media for Job Prospecting; The Psychology of Internet Addiction
jquery,2,HTML Web Design Tools; JavaScript Regular Expressions and Drawing
json,2,PHP 2020 Database; JavaScript Regular Expressions and Drawing
just,2,Introduction to Visual Basic; Attention To Details
know what,2,Introduction to Digital Transformation; The Art of Happiness
language,2,Body Language Fundamentals; Python Database
layers,2,Practice your Autocad Skills; Introduction to Networks 1
layout,2,CSS Basics; Practice Android Studio 2017
leader,2,Shifting Focus from Team Member to Team Leader; Building First Impression
manager,2,Transition to Senior Management; Giving Constructive Feedback
material,2,03 D Max Become an Expert in the Final Touches; 03 D Max Master Creating your Own Project Material
methods,2,HTML Advanced Techniques; Python Basics 2020
microsoft,2,Get Closer to your Windows 10 Computer; Access 2019 Essentials
modeling,2,03 D Max Start Creating your Own Project Material; Revit 2020Simple Steps to Create Splendid Stairs
models,2,Digital Business Models; Autocad 3D Be the Embodied Hero
movements,2,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max
networks,2,Neural networks; Introduction to Networks 1
oop,2,Advanced JavaScript; PHP 2020 OOP
options,2,Get Closer to your Windows 10 Computer; Adobe InDesign Formatting Books
people,2,Leading at the Speed of Trust; The Twenties Journey
phone,2,Support Your Android Sensors; Android Studio Build Your Own APK
photoshop,2,Photoshop Tools and Layers; Advanced Photoshop Shapes and Tools
platforms,2,Social Media Marketing Basics; Digital Marketing Advanced Marketing Strategies
presentation skills,2,Presentation Skills And Public Speaking; Presentation Skills Basics
procedures,2,Office Filling; Be a MYSQL Hero
refine,2,Be an Autocad Artist Autocad Drawing 2; PowerPoint Beginnings
remote,2,Working Remotely; Managing Remote Teams
responsibility,2,Accountability; Corporate Social Responsibility (CSR) Principles
responsibility csr,2,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
risks,2,Cybersecurity Essentials; Risk Management in Supply Chain
setting,2,Art of Coaching; Setting SMART Objectives and Planning
shapes,2,Advanced Photoshop Shapes and Tools; Adobe Illustrator Advanced Techniques
site,2,WordPress Plugins; Revit 2020Lasting Buildings
social responsibility csr,2,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
sql,2,Python Database; PHP 2020 Database
strings,2,Python Oriented Programming OOP; Advanced PHP 2020
studio,2,Android Studio 2017 Essentials; Practice Android Studio 2017
styles,2,Practice your Autocad Skills; CSS Basics
sustainable,2,Sustainability in Banking Sector; Sustainable Development Goals
system,2,Get Closer to your Windows 10 Computer; Make a Deep Friendship with your Windows 10 Computer
tables,2,Access 2019 Essentials; Excel Essential Training
teams,2,Managing Remote Teams; Lead Your Company to Winning
technologies,2,Digital Transformation in Supply Chain; Fundamentals of renewable energy
text,2,Revit 2020 Intelligible Projects; Practice your Autocad Skills
types,2,Introduction to Networks 1; Excel Formulas and Functions
unity,2,Essential Unity Controls 1; Unity Basics
up,2,PHP 2020 Basics; Introduction to Digital Transformation
variables,2,Visual Basic Modeling Process; How to Start your Advanced Level in Animate 2019
ve,2,WordPress Plugins; How To Pass An Interview
web development,2,JavaScript Basics; PHP 2020 OOP
web programming,2,Visual Basic Advanced Custom Controls; Python Web Programming
website,2,Build a Stronger WordPress Website; WordPress Earn from What you Learn
who,2,Effective Complaint Handling Skills; How to Manage Your Manager
word,2,Go Through Word 2019; Getting Started with Word 2019
working,2,Working Remotely; Adobe Illustrator Advanced Techniques
world,2,Introduction to Digital Transformation; How to make it in the corporate world
writing,2,Business Email Writing; Business Writing
xml,2,PHP 2020 Database; JavaScript Regular Expressions and Drawing
able,1,Influence Persuasion
access interface,1,Access 2019 Essentials
accessing,1,Get Closer to your Windows 10 Computer
accountable,1,Accountability
accounting financial statements,1,Introduction to Accounting
achieve success,1,Interviewing Skills
acquisition,1,Introduction to talent acquisition
across,1,Social Media Marketing Basics
actions,1,Leading at the Speed of Trust
acumen,1,Business Acumen
adaptability,1,Flexibility and Adaptability
adaptive,1,Flexibility and Adaptability
adaptive workers,1,Flexibility and Adaptability
addiction,1,The Psychology of Internet Addiction
addiction children,1,The Psychology of Internet Addiction
adept,1,PHP 2020 File and Error Handling
adobe illustrator,1,Adobe Illustrator Essentials
adobe premiere,1,Adobe Primere The Utimate Guide
advances,1,MySQL Advances
affiliate,1,Digital Marketing Advanced Marketing Strategies
affiliate marketing,1,Digital Marketing Advanced Marketing Strategies
against,1,Hacking Create your Own Keylogger
age,1,The Twenties Journey
aggregation,1,MySQL Advances
aggregation functions,1,MySQL Advances
agile,1,Agile in Business
agility,1,Agile in Business
all,1,Leadership Skills
all growing,1,Shifting Focus from Team Member to Team Leader
all us,1,Leadership Skills
almost,1,Influence Persuasion
analytical,1,Analytical skills
analytical thinking,1,Analytical skills
analytics,1,Supply Chain Analytics
analyze,1,Critical Thinking
android sensors,1,Support Your Android Sensors
android studio project,1,Publish your First Android Studio Project
animated,1,Adobe Animate CC 2019 Learn How to Make your Character Moves
animated characters,1,Adobe Animate CC 2019 Learn How to Make your Character Moves
animator,1,Adobe Animate CC 2019 for Beginners
annotation,1,Revit 2020 Intelligible Projects
any,1,Body Language Fundamentals
any other,1,Body Language Fundamentals
apk,1,Android Studio Build Your Own APK
app development,1,Android Studio 2017 Essentials
appearance,1,Adobe Illustrator Make Your Design Looks Great
appearance panel,1,Adobe Illustrator Make Your Design Looks Great
applications,1,Python Web Programming
apply,1,leadership and influence
approach,1,Data-Drive Decision Making
apps,1,Get Closer to your Windows 10 Computer
asp.net,1,C 2019 ASPNet
aspect,1,AllStar Customer Service Team Leadership
asser,1,Customer Service Career
assess,1,Introduction to talent acquisition
assume,1,Lateral Thinking
attention,1,Attention To Details
attention detail,1,Attention To Details
attractive,1,Employees Rights and Responsibilities
attributes,1,HTML Essentials
audience,1,Presentation Skills And Public Speaking
automation,1,Digital Marketing Automation
balance,1,Work life Balance
banking,1,Sustainability in Banking Sector
banking sector,1,Sustainability in Banking Sector
before,1,Interviewing Skills
behind,1,Stress Management (AR)
being,1,Advanced Interpersonal Skills
between,1,HTML Advanced Techniques
big,1,IoT and Big Data
big data,1,IoT and Big Data
blocks,1,Practice your Autocad Skills
body,1,Body Language Fundamentals
body language,1,Body Language Fundamentals
bom,1,JavaScript BOM DOM
bom dom,1,JavaScript BOM DOM
book,1,Adobe InDesign Formatting Books
books,1,Adobe InDesign Formatting Books
bootstrap,1,C 2019 ASPNet
boss,1,How to Manage Your Manager
boss who,1,How to Manage Your Manager
boxes,1,C 2019 Essentials
brand,1,Sell Yourself and Idea Personal Branding
branding,1,Sell Yourself and Idea Personal Branding
browser,1,JavaScript BOM DOM
brushes,1,Adobe Illustrator Make Your Design Looks Great
build own,1,Android Studio Build Your Own APK
build own apk,1,Android Studio Build Your Own APK
builder,1,Customer Magnet
building,1,Building business relationships
built-in,1,After Effects 2019 Effects Presets
built-in animations,1,After Effects 2019 Effects Presets
business finance,1,Basics of business finance
business models,1,Digital Business Models
business models digital,1,Digital Business Models
business relationships,1,Building business relationships
business strategies,1,Digital Business Models
business valuation,1,Exit Strategies and Business Valuation
business writing,1,Business Writing
buttons,1,Practice Android Studio 2017
buyer,1,Sell with Stories
camera,1,Support Your Android Sensors
campaign management,1,Digital Marketing Advanced Marketing Strategies
campaigns,1,Digital Marketing Automation
candidate,1,Interviewing Skills
car,1,Sales Prospects
career databases,1,MySQL Kick Start Your Career in Databases
cases,1,Hacking Start your White Hat Path
cash,1,Basics of business finance
cash flow,1,Basics of business finance
certain,1,Lateral Thinking
chain analytics,1,Supply Chain Analytics
chain management,1,Introduction to Supply Chain Management
chain sustainability,1,Supply Chain Sustainability and CSR
channels,1,Serving Customers using Social Media
character,1,Adobe Animate CC 2019 Learn How to Make your Character Moves
characteristics,1,Presentation Skills for Managers
children,1,The Psychology of Internet Addiction
choose,1,Sales Prospects
choose most,1,Sales Prospects
choosing,1,Sales Prospects
choosing best,1,Sales Prospects
civility,1,Developing Civility at Work
clarity,1,Business Email Writing
class,1,C 2019 ObjectOriented Programming
cloud,1,Cloud Computing Fundamentals & Practices
cloud computing,1,Cloud Computing Fundamentals & Practices
coach,1,Art of Coaching
coach employees,1,Art of Coaching
coaching,1,Art of Coaching
coaching process,1,Art of Coaching
code,1,Visual Basic Modeling Process
cognitive psychology,1,Basics of Cognitive Psychology
collaborate,1,Sustainability Principles and Sustainability in Business
collective,1,Team Dynamics
color,1,Adobe Illustrator Advanced Techniques
communication skills,1,Communication Skills
competition,1,Growth Hacking
competitors,1,Lead Your Company to Winning
computing,1,Cloud Computing Fundamentals & Practices
concepts,1,Introduction to Psychology
concepts have clear,1,Introduction to Accounting
connectors,1,Introduction to Networks 1
constraints,1,Launch Your MySQL Powers
consumer,1,Serving Customers using Social Media
consumer support,1,Serving Customers using Social Media
context,1,Agile in Business
control emotions,1,Anger and Stress
control points,1,HACCP principles and application
controls,1,Risk Management and internal controls
corporate governance startups,1,Corporate Governance for Startups
corporate social,1,Corporate Social Responsibility (CSR) Principles
corporate social responsibility,1,Corporate Social Responsibility (CSR) Principles
corporate world,1,How to make it in the corporate world
could feel,1,The first 100 Days Magnet Plan
counterfeiting,1,Detecting Forgery and Counterfeiting
counterfeiting forgery,1,Detecting Forgery and Counterfeiting
crafting,1,Adobe InDesign Advanced Techniques
creating,1,Python Oriented Programming OOP
creation,1,Revit 2020Simple Steps to Create Splendid Stairs
creativity innovation,1,Creativity and Innovation
creators,1,Adobe Animate CC 2019 for Beginners
critical,1,Critical Thinking
critical control,1,HACCP principles and application
critical control points,1,HACCP principles and application
critical thinking,1,Critical Thinking
criticism,1,Dealing with Criticism
cross-cultural,1,Cross-cultural communication
cross-cultural communication,1,Cross-cultural communication
csr principles,1,Corporate Social Responsibility (CSR) Principles
customer expectations,1,Managing customer expectations
customer magnet,1,Customer Magnet
customer main,1,Effective Complaint Handling Skills
customer service career,1,Customer Service Career
customer service employee,1,Customer Service Basics
customer support,1,AllStar Customer Service Team Leadership
customer support team,1,AllStar Customer Service Team Leadership
customers using,1,Serving Customers using Social Media
cyber,1,Cybersecurity Essentials
data android,1,Practice Android Studio 2017
data integrity,1,Launch Your MySQL Powers
data manipulation,1,Launch Your MySQL Powers
day,1,Leading at the Speed of Trust
day-to-day,1,Leadership Skills
days,1,The first 100 Days Magnet Plan
dealing customers,1,Customer Service Basics
decision,1,Ethical Decision Making in Business
decision making,1,Ethical Decision Making in Business
decision making business,1,Ethical Decision Making in Business
decisions,1,Data-Drive Decision Making
deep,1,JavaScript Basics
dependent,1,Managing customer expectations
dependent upon,1,Managing customer expectations
deployment,1,Cloud Computing Fundamentals & Practices
design programming,1,C 2019 ASPNet
design programming languages,1,C 2019 ASPNet
designing,1,Designing workplace hygiene policies
designing workplace,1,Designing workplace hygiene policies
designing workplace hygiene,1,Designing workplace hygiene policies
detail,1,Attention To Details
developer,1,HTML Essentials
development behavior,1,Human Development and Behavior
development goals,1,Sustainable Development Goals
devices,1,Introduction to Networks 1
did,1,Sustainability in Corporates
did ever,1,Sustainability in Corporates
digital business,1,Digital Business Models
digital business models,1,Digital Business Models
digital marketing automation,1,Digital Marketing Automation
dilemmas,1,Business Ethics
dimension,1,Revit 2020 Intelligible Projects
dimensions,1,03 D Max Start Creating your Own Project Material
disaster,1,Risk and Crisis Management Environmental Awareness
discusses,1,Leading at the Speed of Trust
disorders,1,Introduction to Mental health
dive,1,Introduction to Visual Basic
diverse,1,Workplace Diversity
diversity,1,Workplace Diversity
django,1,Python Web Programming
do want,1,Financial Inclusion
documentation,1,Revit 2020 Intelligible Projects
dom,1,JavaScript BOM DOM
don,1,Financial Inclusion
done,1,Working Remotely
drawings,1,Practice your Autocad Skills
dream,1,Time Management
during,1,Interviewing Skills
dynamics,1,Team Dynamics
each,1,leadership and influence
easily,1,Effective Complaint Handling Skills
edge,1,Access the Worlds Windows Microsoft Edge
editing,1,Be an Autocad Artist Autocad Drawing 2
effectiveness,1,Personal Effectiveness
elevate,1,How to Start your Advanced Level in Animate 2019
elevate skills,1,How to Start your Advanced Level in Animate 2019
elucidating,1,Start with 3D Max
email,1,Business Email Writing
email writing,1,Business Email Writing
emails,1,Business Email Writing
embark,1,Risk Management
embark exciting,1,Make a Deep Friendship with your Windows 10 Computer
embark exciting journey,1,Make a Deep Friendship with your Windows 10 Computer
embark journey,1,Risk Management
emotional,1,Emotional Intelligence
emotional intelligence,1,Emotional Intelligence
emotions,1,Emotional Intelligence
empathy,1,Developing Empathy
employers,1,Attention To Details
energy,1,Fundamentals of renewable energy
energy systems,1,Fundamentals of renewable energy
engine,1,WordPress Earn from What you Learn
engineering,1,The Art and Science of Prompt Engineering
enhance mental,1,Introduction to Mental health
enhance mental health,1,Introduction to Mental health
enough,1,Leadership Skills
enroll,1,Excel Essential Training
environment,1,Risk and Crisis Management Environmental Awareness
environmental,1,Sustainability in Banking Sector
environmental social,1,Sustainability in Banking Sector
error,1,PHP 2020 File and Error Handling
error handling,1,PHP 2020 File and Error Handling
errors,1,PHP 2020 File and Error Handling
errors intricate,1,PHP 2020 File and Error Handling
esg,1,Sustainability in Banking Sector
ethical decision,1,Ethical Decision Making in Business
ethical decision making,1,Ethical Decision Making in Business
ethical dilemmas,1,Business Ethics
ethically,1,Code of Ethics and Corporate Governance
etiquette,1,Business Ethics and Etiquette
evaluate,1,leadership and influence
ever,1,Sustainability in Corporates
exactly,1,Growth Hacking
example,1,Adobe Illustrator Essentials
excel functions,1,Excel Formulas and Functions
excel proficiency,1,Excel Essential Training
excel spreadsheet,1,Excel Formulas and Functions
excel spreadsheet management,1,Excel Formulas and Functions
excellence,1,Lead Your Company to Winning
existing,1,After Effects 2019 Effects Presets
existing presets,1,After Effects 2019 Effects Presets
exit,1,Exit Strategies and Business Valuation
exit strategies,1,Exit Strategies and Business Valuation
exit strategies business,1,Exit Strategies and Business Valuation
expectations,1,Managing customer expectations
experience,1,HTML Essentials
experiencing,1,Experiencing Hajj
experiencing hajj,1,Experiencing Hajj
explorer,1,Make a Deep Friendship with your Windows 10 Computer
export,1,Adobe InDesign Formatting Books
expressions,1,JavaScript Regular Expressions and Drawing
external,1,Managing key stakeholders
